maxPreds,stock
4,5
4,10
4,15
2,20
4,25
2,30
2,35
2,40
5,45
1,50
5,55
4,60
4,65
4,70
3,75
4,80
4,85
3,90
1,95
4,100
4,5
2,10
2,15
4,20
4,25
2,30
7,35
2,40
4,45
4,50
2,55
2,60
2,65
4,70
2,75
5,80
4,85
2,90
4,95
2,100
1,5
2,10
2,15
2,20
2,25
4,30
1,35
2,40
3,45
4,50
4,55
2,60
2,65
2,70
2,75
2,80
2,85
2,90
3,95
5,100
4,5
4,10
2,15
4,20
2,25
4,30
2,35
2,40
4,45
2,50
6,55
6,60
4,65
2,70
6,75
4,80
1,85
2,90
5,95
2,100
1,5
4,10
2,15
2,20
2,25
2,30
5,35
2,40
2,45
4,50
2,55
3,60
2,65
4,70
4,75
4,80
5,85
6,90
4,95
4,100
4,5
4,10
4,15
1,20
4,25
2,30
4,35
3,40
4,45
3,50
4,55
6,60
3,65
3,70
4,75
2,80
3,85
3,90
3,95
4,100
2,5
2,10
4,15
2,20
4,25
4,30
4,35
4,40
4,45
4,50
2,55
4,60
4,65
2,70
2,75
7,80
5,85
4,90
2,95
2,100
1,5
4,10
2,15
1,20
4,25
2,30
4,35
2,40
6,45
3,50
4,55
2,60
4,65
3,70
6,75
2,80
6,85
2,90
4,95
4,100
1,5
1,10
5,15
2,20
2,25
7,30
4,35
5,40
4,45
4,50
4,55
5,60
4,65
4,70
3,75
4,80
2,85
1,90
2,95
3,100
2,5
2,10
2,15
2,20
2,25
2,30
4,35
4,40
2,45
4,50
2,55
8,60
1,65
4,70
5,75
4,80
6,85
2,90
4,95
3,100
