maxPreds,stock
1,20
2,30
2,40
4,50
5,60
4,70
4,80
2,90
4,100
3,110
1,20
3,30
2,40
5,50
2,60
2,70
3,80
2,90
4,100
2,110
2,20
1,30
1,40
2,50
4,60
2,70
2,80
4,90
2,100
5,110
1,20
3,30
4,40
4,50
2,60
3,70
4,80
2,90
4,100
2,110
1,20
1,30
4,40
2,50
2,60
2,70
5,80
2,90
4,100
3,110
2,20
2,30
2,40
4,50
4,60
2,70
3,80
4,90
4,100
2,110
1,20
2,30
4,40
4,50
2,60
3,70
4,80
2,90
2,100
2,110
1,20
2,30
3,40
3,50
6,60
5,70
2,80
3,90
5,100
4,110
2,20
1,30
2,40
4,50
5,60
5,70
2,80
2,90
2,100
4,110
1,20
2,30
4,40
3,50
3,60
2,70
2,80
2,90
2,100
2,110
2,20
1,30
3,40
6,50
6,60
2,70
6,80
4,90
5,100
2,110
1,20
2,30
4,40
4,50
2,60
3,70
3,80
4,90
2,100
4,110
1,20
3,30
2,40
2,50
2,60
2,70
4,80
2,90
5,100
4,110
1,20
2,30
2,40
3,50
5,60
4,70
2,80
3,90
4,100
4,110
1,20
5,30
2,40
3,50
2,60
2,70
2,80
5,90
2,100
4,110
2,20
2,30
5,40
4,50
4,60
3,70
4,80
2,90
4,100
4,110
1,20
4,30
2,40
4,50
5,60
4,70
2,80
2,90
2,100
4,110
1,20
2,30
3,40
4,50
5,60
6,70
3,80
4,90
3,100
2,110
3,20
2,30
2,40
2,50
2,60
4,70
2,80
5,90
2,100
2,110
1,20
2,30
3,40
2,50
4,60
6,70
3,80
5,90
4,100
2,110
0,20
2,30
3,40
7,50
2,60
2,70
4,80
2,90
2,100
4,110
1,20
2,30
1,40
5,50
5,60
2,70
2,80
4,90
6,100
4,110
1,20
4,30
3,40
6,50
2,60
4,70
3,80
3,90
4,100
4,110
1,20
2,30
4,40
4,50
3,60
5,70
5,80
3,90
4,100
5,110
3,20
2,30
3,40
4,50
4,60
4,70
2,80
3,90
2,100
2,110
1,20
1,30
5,40
3,50
4,60
5,70
5,80
5,90
1,100
2,110
1,20
3,30
3,40
2,50
5,60
4,70
4,80
3,90
2,100
3,110
1,20
2,30
4,40
3,50
2,60
3,70
2,80
2,90
4,100
2,110
1,20
1,30
4,40
4,50
5,60
2,70
2,80
4,90
2,100
4,110
2,20
1,30
2,40
5,50
5,60
4,70
1,80
2,90
2,100
2,110
2,20
2,30
7,40
3,50
3,60
4,70
3,80
5,90
2,100
2,110
1,20
2,30
2,40
2,50
4,60
2,70
1,80
6,90
2,100
4,110
1,20
2,30
3,40
3,50
3,60
2,70
4,80
2,90
2,100
2,110
2,20
2,30
2,40
2,50
3,60
2,70
7,80
4,90
3,100
4,110
1,20
3,30
2,40
4,50
4,60
5,70
4,80
5,90
3,100
4,110
2,20
1,30
3,40
3,50
1,60
4,70
2,80
2,90
4,100
3,110
3,20
2,30
3,40
2,50
3,60
4,70
3,80
3,90
3,100
4,110
2,20
3,30
6,40
6,50
1,60
4,70
4,80
4,90
4,100
3,110
1,20
1,30
4,40
4,50
6,60
2,70
6,80
3,90
2,100
2,110
1,20
4,30
2,40
2,50
2,60
2,70
1,80
4,90
4,100
2,110
1,20
2,30
2,40
5,50
4,60
3,70
2,80
2,90
2,100
3,110
2,20
1,30
8,40
3,50
7,60
4,70
5,80
2,90
3,100
2,110
2,20
1,30
2,40
2,50
6,60
4,70
4,80
5,90
2,100
4,110
1,20
1,30
4,40
2,50
3,60
5,70
4,80
2,90
4,100
2,110
2,20
3,30
2,40
4,50
3,60
5,70
4,80
4,90
2,100
2,110
