predLifeLen,foodEnergy
0.5,111
1,13.8
1.5,12.6
2,136.5
2.5,46.285714285714285
3,59.125
3.5,222.5
4,32.42857142857143
0.5,32.5
1,128.5
1.5,6
2,103.5
2.5,91
3,103.875
3.5,108.33333333333333
4,98.66666666666667
0.5,57.333333333333336
1,16
1.5,80.8
2,197.5
2.5,61.111111111111114
3,105.66666666666667
3.5,93.33333333333333
4,92
0.5,11
1,70
1.5,20.7
2,5.6
2.5,51.714285714285715
3,40.55555555555556
3.5,63.875
4,61.666666666666664
0.5,66
1,158.25
1.5,186
2,79.83333333333333
2.5,77.33333333333333
3,43.4
3.5,100.66666666666667
4,71
