foodEnergy,predLifeLen
0.5,208
1.0,2
1.0,83
1.0,163
1.0,3
1.0,5
1.0,19
1.0,20
1.0,22
1.5,97
2.0,11
2.0,19
2.5,1
2.5,7
3.0,10
3.0,22
3.5,81
4.0,1
4.0,19
4.0,51
4.0,6
4.0,12
4.0,14
4.0,205
4.0,3
4.0,5
4.0,6
0.5,6
0.5,16
1.0,29
1.5,1
1.5,2
1.5,3
1.5,3
2.0,1
2.0,37
2.0,11
2.0,58
2.5,37
2.5,88
3.0,14
3.0,162
3.0,81
3.0,5
3.0,8
3.5,16
3.5,75
3.5,29
3.5,127
3.5,4
3.5,5
3.5,63
3.5,4
3.5,28
3.5,45
3.5,84
3.5,42
3.5,4
3.5,7
4.0,20
4.0,78
4.0,4
4.0,5
4.0,16
4.0,29
0.5,98
0.5,5
0.5,15
0.5,189
0.5,2
0.5,3
0.5,9
0.5,12
0.5,130
1.0,55
1.0,70
1.0,98
1.0,116
1.0,124
1.0,148
1.5,26
2.0,140
2.0,40
2.5,135
3.0,5
3.0,59
3.0,3
3.0,5
3.5,13
3.5,21
3.5,182
3.5,3
3.5,4
3.5,6
3.5,56
3.5,25
4.0,58
4.0,47
0.5,61
0.5,133
1.0,93
1.0,239
1.5,29
1.5,188
1.5,123
1.5,35
1.5,6
1.5,8
1.5,16
2.0,1
2.0,102
2.0,169
2.5,20
2.5,26
2.5,122
3.0,110
3.5,56
3.5,193
4.0,1
4.0,3
4.0,5
4.0,12
4.0,22
0.5,6
1.0,1
1.0,2
1.0,4
1.0,10
1.0,57
1.5,247
2.0,110
2.0,195
2.0,4
2.0,4
2.5,1
2.5,3
2.5,4
2.5,96
2.5,231
3.0,1
3.0,7
3.0,60
3.0,94
3.0,195
3.5,6
3.5,17
3.5,48
4.0,11
4.0,53
4.0,4
4.0,15
4.0,126
4.0,4
4.0,5
4.0,8
4.0,135
4.0,7
0.5,15
0.5,221
1.0,9
1.0,32
1.5,99
1.5,3
1.5,62
1.5,85
1.5,5
1.5,11
2.0,7
2.0,14
2.5,46
2.5,5
2.5,5
2.5,6
2.5,166
2.5,7
2.5,26
3.0,1
3.0,6
3.0,8
3.0,8
3.0,133
3.5,77
3.5,161
4.0,63
4.0,5
4.0,78
4.0,15
4.0,112
0.5,118
0.5,14
0.5,12
1.0,51
1.0,152
1.5,1
1.5,3
1.5,4
1.5,4
1.5,96
1.5,28
2.0,1
2.0,5
2.0,6
2.0,165
2.0,4
2.0,6
2.0,6
2.0,28
2.0,115
2.0,188
2.0,7
2.5,1
2.5,5
2.5,5
2.5,12
2.5,26
3.0,12
3.5,19
3.5,211
4.0,16
4.0,227
0.5,63
1.0,6
1.0,2
1.0,7
1.0,8
1.0,97
1.0,4
1.0,4
1.0,5
1.0,13
1.5,180
1.5,4
1.5,5
1.5,6
1.5,7
1.5,90
2.0,64
2.0,3
2.0,53
2.0,11
2.0,117
2.0,6
2.0,9
2.0,132
2.5,123
2.5,155
3.0,15
3.0,35
3.0,244
3.5,9
3.5,15
4.0,1
4.0,3
4.0,4
4.0,6
4.0,73
4.0,5
4.0,18
4.0,98
4.0,3
4.0,13
4.0,52
0.5,1
0.5,90
0.5,159
1.0,21
1.0,113
1.0,4
1.0,36
1.0,40
1.5,13
1.5,187
1.5,3
1.5,4
1.5,6
1.5,10
2.0,8
2.0,161
2.5,1
2.5,117
2.5,48
2.5,5
2.5,11
2.5,29
2.5,235
2.5,3
2.5,4
3.0,16
3.0,18
3.5,8
3.5,12
4.0,28
4.0,62
0.5,38
0.5,91
1.0,15
1.0,57
1.0,189
1.0,3
1.0,25
1.5,1
1.5,3
1.5,4
1.5,6
1.5,12
2.0,99
2.0,228
2.5,1
2.5,3
2.5,4
2.5,70
2.5,4
2.5,28
2.5,26
2.5,53
2.5,89
2.5,9
2.5,151
2.5,4
3.0,47
3.5,1
3.5,16
3.5,125
4.0,30
4.0,5
4.0,45
4.0,5
4.0,8
4.0,21
4.0,88
