foodEnergy,predLifeLen
0.5,1
0.5,2
0.5,1
0.5,1
0.5,6
0.5,1
0.5,8
0.5,1
0.5,12
0.5,1
0.5,1
0.5,6
0.5,1
0.5,1
0.5,1
0.5,12
0.5,7
1,2
1,2
1.5,6
1.5,1
1.5,4
1.5,6
1.5,8
2,1
2,2
2,54
2.5,21
2.5,1
2.5,1
2.5,4
2.5,65
3,51
3.5,13
4,57
4,1
4,1
4,5
4,9
0.5,2
0.5,6
0.5,1
0.5,8
1,1
1,1
1,10
1.5,1
1.5,24
2,1
2,117
2.5,1
2.5,49
3,215
3,1
3,1
3,3
3,10
4,219
4,21
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,4
0.5,4
0.5,5
0.5,6
1,5
1.5,8
2,22
2.5,22
3,17
3.5,16
4,18
0.5,1
0.5,4
1,8
1,1
1,1
1,6
1,2
1,1
1,1
1,31
1,59
1,1
1,26
1,11
1,1
1,1
1,6
1,39
1,1
1,1
1,3
1,15
1,1
1,1
1,3
1,6
1,1
1,1
1,3
1,11
1,1
1,1
1,9
1,24
1.5,7
2,8
2.5,130
2.5,6
3,1
3,206
3.5,1
3.5,58
4,4
0.5,1
0.5,1
0.5,1
0.5,3
0.5,1
0.5,1
0.5,4
0.5,5
0.5,9
1,2
1,3
1.5,1
1.5,89
2,64
2,41
2,6
2.5,96
2.5,1
2.5,2
2.5,3
2.5,14
3,6
3.5,1
4,140
4,1
4,1
4,3
0.5,1
0.5,2
0.5,1
0.5,1
0.5,2
0.5,1
0.5,3
0.5,3
0.5,6
0.5,9
1,1
1,1
1,1
1,5
1,7
1.5,4
2,23
2.5,105
2.5,7
3,76
3,1
3,1
3,8
3.5,175
3.5,1
3.5,2
3.5,29
4,42
0.5,1
0.5,4
1,2
1,4
1.5,7
2,37
2,4
2.5,68
2.5,1
2.5,1
2.5,16
2.5,1
2.5,121
3,59
3,5
3.5,1
3.5,209
4,14
0.5,1
0.5,1
0.5,2
0.5,4
0.5,1
0.5,1
0.5,6
0.5,9
0.5,16
0.5,1
0.5,1
0.5,1
0.5,4
0.5,11
0.5,1
0.5,1
0.5,4
0.5,6
0.5,4
0.5,1
0.5,3
0.5,1
0.5,1
0.5,18
0.5,9
0.5,31
0.5,1
0.5,6
0.5,6
0.5,6
1,12
1.5,65
2,10
2.5,8
3,69
3.5,7
0.5,3
0.5,5
1,2
1,2
1,39
1,1
1,21
1,1
1,29
1.5,8
